#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,0.8107469388552317,0.40923545748794704,1.2199823963431788,10.93770086916326
10,0.8094729727554579,0.746044988107909,1.555517960863367,19.93966252326291
15,0.8057416623857866,1.0202128311826533,1.8259544935684398,27.26738987588012
20,0.8025966715036658,1.4182248331229073,2.220821504626573,37.905119671538266
25,0.8034856136835762,1.3695242491209658,2.173009862804542,36.603491451841585
30,0.8054494500346333,1.5423587286551834,2.347808178689817,41.22286595234773
35,0.8076803743447981,2.016137166980874,2.8238175413256723,53.88561728986678
40,0.809844642812945,1.457775035054652,2.267619677867597,38.962184180805934
45,0.8078628931772245,2.0622829879909124,2.8701458811681366,55.1189639545668
50,0.803272620665461,2.419992443902273,3.223265064567734,64.6795212211493
55,0.7987204137530654,2.090811211814677,2.8895316255677423,55.88144230976177
60,0.7971714844098705,2.4653173144163083,3.262488798826179,65.89092621195627
65,0.7983954840751061,3.1417295967404186,3.9401250808155246,83.9695043823413
70,0.799828850673848,3.1897173807077444,3.9895462313815924,85.25208148265058
75,0.799438946444138,2.59477874764451,3.394217694088648,69.35106243630808
80,0.8009181816076106,2.2885941397978873,3.089512321405498,61.16761794221251
85,0.8005889960219245,2.733929734933329,3.5345187309552535,73.07017290624742
90,0.8015878027662179,2.246559582494929,3.048147385261147,60.044153673574456
95,0.8015729501769004,3.3127394197147737,4.114312369891675,88.54011099806239
100,0.7974131827424671,3.166766865699536,3.964180048442003,84.6386794341235
105,0.7985363973450795,3.037258363169604,3.8357947605146836,81.17728518109159
110,0.7983887028573666,3.187154169633408,3.9855428724907744,85.18357413441709
115,0.7931182751451447,5.4766981818725,6.269816457017645,146.3765794677651
120,0.7770009948694405,2.7715915275434857,3.5485925224129264,74.076765600573
125,0.7589999678940654,3.403909267599533,4.162909235493598,90.97682195798693
130,0.7428090297738931,4.728665885507054,5.471474915280947,126.3838018420397
135,0.7238746482472913,4.570865125900439,5.294739774147731,122.16623595442418
140,0.6884253275386706,5.287247755589808,5.975673083128479,141.31310792760274
145,0.6438592375296466,5.780172607127357,6.424031844657003,154.48758848260988
150,0.5872237603314527,5.507408677887989,6.094632438219442,147.1973837573615
155,0.5303890011466004,5.051869307417744,5.582258308564344,135.0221108743239
160,0.4501713129272574,4.918477512554734,5.3686488254819915,131.45692725223915
165,0.32994803025823444,6.338699004965759,6.6686470352239935,169.41541195271486
170,0.18201747295172144,6.328778598210032,6.510796071161754,169.1502676705927
175,0.11674001062711925,6.7887417053369035,6.905481715964022,181.44377446369063
180,0.4484685933113668,6.326205389905592,6.7746739832169585,169.0814931248073
185,1.6216412101141895,6.919485630108278,8.541126840222468,184.93818804258194
190,2.308158247034259,4.622631326768216,6.930789573802475,123.54979940149289
195,1.2886694058057877,5.876209687727802,7.16487909353359,157.05438674198683
200,0.3278631892220402,6.777907035695314,7.105770224917355,181.15419453265693
205,0.11604648517671523,6.608713354106013,6.724759839282728,176.63212821529552
210,0.18727592941399884,7.064711168822193,7.251987098236191,188.81965401028262
215,0.30833234652635344,4.025554181727415,4.333886528253768,107.59162400692159
220,0.40342235455855874,4.299464972321979,4.702887326880537,114.91248107720024
225,0.46508127547429656,6.047313076889009,6.512394352363305,161.62749411599887
230,0.5076719190818092,5.41419252824769,5.921864447329499,144.7059809664125
235,0.5259915352387377,5.074307974747342,5.60029950998608,135.62183268890064
240,0.5289337696794554,5.301246174306348,5.8301799439858035,141.6872458810994
245,0.5199286187379337,5.069866133614914,5.589794752352848,135.50311489764897
