#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,-0.025191346886464325,1.3579073302740206,1.3327159833875561,36.29300422243777
10,-0.024934274734283904,0.7415171661464879,0.716582891412204,19.81864670878083
15,-0.025386488648913918,0.8001074663984574,0.7747209777495435,21.38459894059441
20,-0.0253002388787137,0.488239044363039,0.4629388054843253,13.049242244720041
25,-0.024424176100322187,0.9330021285184884,0.9085779524181662,24.93649561714334
30,-0.02447757946308307,0.7119246579218972,0.6874470784588141,19.027723055889975
35,-0.025829501519326573,0.9644365161716959,0.9386070146523693,25.776647473159457
40,-0.02733226106565212,1.3309145679559318,1.3035823068902797,35.57156439002449
45,-0.028003627831732155,2.0048053823737915,1.9768017545420593,53.582750888438916
50,-0.02860757872316831,2.59945716913438,2.570849590411212,69.4761033482324
55,-0.027640851662245797,2.80631502354973,2.778674171887484,75.00482597632642
60,-0.027084810526025335,3.9919071200291434,3.964822309503118,106.69233366135613
65,-0.027302261280324782,4.436995482163279,4.409693220882954,118.58828078981912
70,-0.027779622386375855,5.542265190273238,5.514485567886862,148.1289992829379
75,-0.02930899480790423,5.832932872814523,5.803623878006619,155.8977204575031
80,-0.031968348821372575,5.470751631398959,5.438783282577586,146.21764507170317
85,-0.0347441400171738,5.5142579513635575,5.479513811346384,147.38044537403255
90,-0.037372200476663606,6.712746423548656,6.675374223071993,179.41263653451423
95,-0.03863650675016363,7.417862980709313,7.379226473959149,198.25839840338818
100,-0.038220641498276,7.415346032589463,7.377125391091187,198.19112753246432
105,-0.03751002159586742,8.96805268840152,8.930542666805653,239.69056417238772
110,-0.036699171548104106,12.037414967414417,12.000715795866313,321.72589579544257
115,-0.036460382147936225,17.0478949053521,17.011434523204162,455.64178643822765
120,-0.03469683340991158,18.81261588871882,18.77791905530891,502.8077635802971
125,-0.033469844066033344,17.44954997072415,17.416080126658116,466.3768849670571
130,-0.032616303032412884,16.24702108115845,16.21440477812604,434.2367049314988
135,-0.03203114217826071,16.047445431593903,16.01541428941564,428.9026149454906
140,-0.030740234664544508,16.614743953273273,16.584003718608727,444.06489235843986
145,-0.030317209818498676,14.16144518165445,14.131127971835951,378.4951876428052
150,-0.029089748957954884,12.830422360043785,12.801332611085831,342.92072994021015
155,-0.026528722289417318,13.226127508741751,13.199598786452334,353.4968041040027
160,-0.02259711024875428,16.22618535233538,16.203588242086628,433.6798251081897
165,-0.01921803917629947,15.019775923206819,15.000557884030519,401.4359292773039
170,-0.016979452761848403,14.36701846495999,14.350039012198142,383.9895773354529
175,-0.015357324053684245,15.052360735400878,15.037003411347193,402.30682871217755
180,-0.013626887301024977,15.876634014423317,15.863007127122293,424.33731115310167
185,-0.012177459219063465,16.302303668211547,16.290126208992483,435.7142513889146
190,-0.011196509087867837,17.016669450668765,17.005472941580898,454.80721876677904
195,-0.010414053380646658,15.35257621558033,15.342162162199683,410.33073538598217
200,-0.00973912599419014,19.45743603074191,19.44769690474772,520.0419736146698
205,-0.009561743673626989,20.85467907729022,20.845117333616596,557.3863097542477
210,-0.009685488049072988,18.030360017757268,18.020674529708195,481.90028705750274
215,-0.010102886239027345,13.010829771526316,13.000726885287289,347.7425073919699
220,-0.010546773689290022,14.010729179757476,14.000182406068186,374.46697719627053
225,-0.010622761730391759,13.19099643195896,13.180373670228567,352.55785025229966
230,-0.010808323350568382,15.40796366302423,15.397155339673661,411.8110844636662
