#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-3.001419147968523,12.516059749387766,9.514640601419243,49.35521960707161
40,-3.349020969814693,31.20857735011436,27.85955638029967,123.06638187905108
60,-4.346452821965778,40.12363249134087,35.777179669375094,158.22157553541808
80,-6.590053555002316,56.349070767666475,49.75901721266416,222.20417751909812
100,-5.247994079780104,52.77439011471195,47.52639603493184,208.10795616953556
120,-9.043718807601456,68.51689286337714,59.47317405577568,270.1861737462218
140,-11.740439452882457,65.13540259004044,53.39496313715799,256.85176991774273
160,-8.375404950145644,53.36901636668247,44.99361141653683,210.45277633161336
180,-12.525516221875998,60.02864536461395,47.503129142737954,236.71403253172127
200,-18.042264398499093,73.16367069387789,55.1214062953788,288.510050819504
220,-18.334683447482462,79.35350704193783,61.01882359445537,312.9187495959121
240,-18.61918179817718,127.58870782491233,108.96952602673515,503.12708793109397
260,-14.515250097302435,103.29589507075002,88.78064497344758,407.3319948776431
280,-18.779648648336835,93.24518970140976,74.46554105307293,367.698533497433
300,-18.852373193142473,98.42421413042834,79.57184093728587,388.1212458496255
320,-18.401277182924954,100.81296917389321,82.41169199096825,397.5409459883593
