ANGLES
! Rosetta atom_properties file
! Generated using itp_to_param.py
! Original file: terphenyl_pmp_octamer.top
! Author: tfobe
! Date: Thursday, 30. June 2022
! Time: 06:55PM
! System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
! atom types     Kb    b0
c1   c2   1443.10634   1.38719
c1   c6   1443.10634   1.38719
c1   c7   1116.51359   1.45463
c2   c3   1443.10634   1.38719
c2   h1   1588.98018   1.08536
c3   c4   1443.10634   1.38719
c3   o12   1702.7233   1.36295
c4   c5   1443.10634   1.38719
c4   h2   1588.98018   1.08536
c5   c6   1443.10634   1.38719
c5   c8   1116.51359   1.45463
c6   h3   1588.98018   1.08536
c7   c14  1443.10634   1.38719
c7   c18  1443.10634   1.38719
c8   c9   1443.10634   1.38719
c8   c13  1443.10634   1.38719
c9   c10  1443.10634   1.38719
c9   h4   1588.98018   1.08536
c10  c11  1443.10634   1.38719
c10  h5   1588.98018   1.08536
c11  c12  1443.10634   1.38719
c11  c19  1158.92472   1.49865
c12  c13  1443.10634   1.38719
c12  h6   1588.98018   1.08536
c13  h7   1588.98018   1.08536
c14  c15  1443.10634   1.38719
c14  h8   1588.98018   1.08536
c15  c16  1443.10634   1.38719
c15  h9   1588.98018   1.08536
c16  c17  1443.10634   1.38719
c16  c20  1116.51359   1.45463
c17  c18  1443.10634   1.38719
c17  h10  1588.98018   1.08536
c18  h11  1588.98018   1.08536
c19  n1   1408.19243    1.4501
c19  h12   1480.1513    1.0939
c19  c167 1058.46054    1.5219
n1   c39  1971.02257    1.3819
n1   h13  2020.52949   1.01948
c20  o1   2330.73913    1.2252
c20  n3   1971.02257    1.3819
c21  c22  1443.10634   1.38719
c21  c26  1443.10634   1.38719
c21  c27  1116.51359   1.45463
c22  c23  1443.10634   1.38719
c22  h14  1588.98018   1.08536
c23  c24  1443.10634   1.38719
c23  o13   1702.7233   1.36295
c24  c25  1443.10634   1.38719
c24  h15  1588.98018   1.08536
c25  c26  1443.10634   1.38719
c25  c28  1116.51359   1.45463
c26  h16  1588.98018   1.08536
c27  c34  1443.10634   1.38719
c27  c38  1443.10634   1.38719
c28  c29  1443.10634   1.38719
c28  c33  1443.10634   1.38719
c29  c30  1443.10634   1.38719
c29  h17  1588.98018   1.08536
c30  c31  1443.10634   1.38719
c30  h18  1588.98018   1.08536
c31  c32  1443.10634   1.38719
c31  c39  1116.51359   1.45463
c32  c33  1443.10634   1.38719
c32  h19  1588.98018   1.08536
c33  h20  1588.98018   1.08536
c34  c35  1443.10634   1.38719
c34  h21  1588.98018   1.08536
c35  c36  1443.10634   1.38719
c35  h22  1588.98018   1.08536
c36  c37  1443.10634   1.38719
c36  c40  1158.92472   1.49865
c37  c38  1443.10634   1.38719
c37  h23  1588.98018   1.08536
c38  h24  1588.98018   1.08536
c39  o2   2330.73913    1.2252
c40  n2   1408.19243    1.4501
c40  h25   1480.1513    1.0939
c40  c168 1058.46054    1.5219
n2   c160 1971.02257    1.3819
n2   h26  2020.52949   1.01948
c41  c42  1443.10634   1.38719
c41  c46  1443.10634   1.38719
c41  c47  1116.51359   1.45463
c42  c43  1443.10634   1.38719
c42  h27  1588.98018   1.08536
c43  c44  1443.10634   1.38719
c43  o14   1702.7233   1.36295
c44  c45  1443.10634   1.38719
c44  h28  1588.98018   1.08536
c45  c46  1443.10634   1.38719
c45  c48  1116.51359   1.45463
c46  h29  1588.98018   1.08536
c47  c54  1443.10634   1.38719
c47  c58  1443.10634   1.38719
c48  c49  1443.10634   1.38719
c48  c53  1443.10634   1.38719
c49  c50  1443.10634   1.38719
