eps,min_samples,avg_silhouette,n_clusters
0.125,50,-0.05928500689950866,1
0.075,50,0.5711563490745165,53
0.05,50,0.7903095594777405,72
0.1,50,-0.10678263034371888,12
0.125,100,-0.0599378687488186,1
0.1,100,0.01854791194365583,13
0.05,100,0.8033845018228274,59
0.075,100,0.5764771760489847,47
0.075,150,0.5676720272742283,35
0.05,150,0.8079623990830626,42
0.1,150,0.05435145590510568,13
0.125,150,-0.07254899146895394,1
0.075,200,0.5790645187957734,18
0.1,200,0.22727343688226417,11
0.125,200,-0.07466103467909337,1
0.05,200,0.8153838217797115,22
0.125,250,-0.07412306036559214,1
0.05,250,0.8170035538141609,17
0.075,250,0.5783769914273549,11
0.1,250,0.2935561353478759,11
0.1,300,0.3823571886411252,13
0.05,300,0.8147789238364711,15
0.075,300,0.5785560292243427,11
0.125,300,-0.07072978210195502,1
0.05,350,0.8086564776118892,12
0.1,350,0.40997695710987164,9
0.125,350,-0.06630252471721564,1
0.075,350,0.5636784936258744,7
