eps,min_samples,avg_silhouette,n_clusters
0.1,300,0.8174119887561,2
0.22500000000000003,300,0.05339545171850409,3
0.1,100,0.6040573710210388,26
0.22500000000000003,100,-0.1046683137680418,6
0.15000000000000002,250,0.616706478771535,7
0.05,50,0.7116529313442362,22
0.22500000000000003,250,0.05560855601444129,4
0.22500000000000003,350,0.05924900703849181,3
0.275,250,-0.07084012333516078,1
0.05,100,0.9042365440357957,3
0.25,100,-0.12209225163622506,2
0.1,150,0.6302313667389898,13
0.175,250,0.5480669260687651,10
0.07500000000000001,50,0.6129202994236598,40
0.22500000000000003,200,0.05181416354003421,5
0.2,350,0.41307130170622125,7
0.125,200,0.599646830971296,9
0.275,350,-0.021375978521946074,1
0.22500000000000003,150,-0.061837741365819106,6
0.2,200,0.37080236016370655,9
0.275,300,-0.06705439194649848,1
0.25,250,-0.048860439129586423,1
0.125,300,0.7102775750519068,4
0.07500000000000001,100,0.6172571015016356,12
0.125,150,0.5669752833774631,16
0.125,350,0.7017693629391143,2
0.15000000000000002,200,0.5753887903763375,12
0.125,50,0.541418898737544,59
0.125,250,0.7165857697417692,5
0.15000000000000002,350,0.5292184763618228,5
0.25,50,-0.07562700955127681,2
0.1,350,0.8211966292306732,2
0.175,350,0.601868618265668,7
0.175,200,0.5266236735731389,12
0.2,300,0.4004445687862004,8
0.25,300,-0.05371271017691195,1
0.275,200,-0.08649782997868197,1
0.175,150,0.4481084181353123,13
0.25,150,-0.1032780973308124,3
0.15000000000000002,300,0.6402471825243414,4
0.15000000000000002,50,0.47937831821066024,56
0.175,300,0.5741860565130713,8
0.1,250,0.6015332816163003,5
0.25,200,-0.04467644653777716,1
0.22500000000000003,50,-0.09922365145319696,5
0.2,150,0.2808184028323402,10
0.07500000000000001,150,0.835632015000401,4
0.07500000000000001,200,0.8447699991468608,2
0.15000000000000002,150,0.5356885419213991,17
0.1,50,0.5584203515002122,62
0.1,200,0.6073093343159929,7
0.175,100,0.44947601078952737,26
0.25,350,-0.055136782337770404,1
0.2,250,0.3804683292520406,8
0.15000000000000002,100,0.5158336845496795,26
0.125,100,0.5498302598878496,29
0.2,50,0.01701804325759185,20
0.175,50,0.4127302838308157,43
0.2,100,0.19612982383361122,19
