NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_mop_hexamer.top
# Author: tfobe
# Date: Tuesday, 15. November 2022
# Time: 03:40PM
# System: Linux-5.14.0-1054-oem-x86_64-with-glibc2.31
c1   -0.3635   1.95345   -0.3635   1.95345
o1   -0.8795   1.70604   -0.8795   1.70604
c2   -0.3635   1.95345   -0.3635   1.95345
c3   -0.3635   1.95345   -0.3635   1.95345
c4   -0.3635   1.95345   -0.3635   1.95345
c5   -0.3635   1.95345   -0.3635   1.95345
c6   -0.3635   1.95345   -0.3635   1.95345
c7   -0.3635   1.95345   -0.3635   1.95345
c8   -0.3635   1.95345   -0.3635   1.95345
c9   -0.3635   1.95345   -0.3635   1.95345
o2   -0.70486   1.69778  -0.70486   1.69778
c10  -0.45539    1.8967  -0.45539    1.8967
c11  -0.3635   1.95345   -0.3635   1.95345
c12  -0.3635   1.95345   -0.3635   1.95345
c13  -0.3635   1.95345   -0.3635   1.95345
c14  -0.3635   1.95345   -0.3635   1.95345
c15  -0.3635   1.95345   -0.3635   1.95345
c16  -0.3635   1.95345   -0.3635   1.95345
c17  -0.3635   1.95345   -0.3635   1.95345
c18  -0.3635   1.95345   -0.3635   1.95345
c19  -0.45539    1.8967  -0.45539    1.8967
n1   -0.70162    1.7998  -0.70162    1.7998
c20  -0.45539    1.8967  -0.45539    1.8967
c21  -0.3635   1.95345   -0.3635   1.95345
c22  -0.3635   1.95345   -0.3635   1.95345
h1   -0.06532   1.44381  -0.06532   1.44381
h2   -0.06532   1.44381  -0.06532   1.44381
h3   -0.06532   1.44381  -0.06532   1.44381
h4   -0.06866   1.44979  -0.06866   1.44979
h5   -0.06866   1.44979  -0.06866   1.44979
h6   -0.06866   1.44979  -0.06866   1.44979
h7   -0.06532   1.44381  -0.06532   1.44381
h8   -0.06532   1.44381  -0.06532   1.44381
h9   -0.06532   1.44381  -0.06532   1.44381
h10  -0.06532   1.44381  -0.06532   1.44381
