ANGLES
! Rosetta atom_properties file
! Generated using itp_to_param.py
! Original file: terphenyl_mop_hexamer.top
! Author: tfobe
! Date: Wednesday, 14. September 2022
! Time: 12:50PM
! System: Linux-5.14.0-1051-oem-x86_64-with-glibc2.31
! atom types     Kb    b0
c1   c56  1443.10634   1.38719
c1   c53  1443.10634   1.38719
c1   h122 1588.98018   1.08536
c2   o4   2330.73913    1.2252
c2   c8   1116.51359   1.45463
c2   n3   1971.02257    1.3819
c3   c58  1443.10634   1.38719
c3   c78  1443.10634   1.38719
c3   o12   1702.7233   1.36295
n1   c43  1971.02257    1.3819
n1   c116 1408.19243    1.4501
n1   h111 2020.52949   1.01948
c4   c64  1443.10634   1.38719
c4   c63  1443.10634   1.38719
c4   o15   1702.7233   1.36295
h41  c120  1480.1513    1.0939
c5   c117 1443.10634   1.38719
c5   c7   1443.10634   1.38719
c5   h70  1588.98018   1.08536
h2   c81  1588.98018   1.08536
h3   c82  1588.98018   1.08536
c6   c74  1443.10634   1.38719
c6   c129 1443.10634   1.38719
c6   h109 1588.98018   1.08536
c75  h52   1480.1513    1.0939
h36  c76   1480.1513    1.0939
c7   c111 1443.10634   1.38719
c7   c99  1116.51359   1.45463
c8   c51  1443.10634   1.38719
c8   c34  1443.10634   1.38719
h7   c85  1588.98018   1.08536
o1   c28  2330.73913    1.2252
o2   c43  2330.73913    1.2252
c9   c114 1443.10634   1.38719
c9   c72  1443.10634   1.38719
c9   h125 1588.98018   1.08536
h8   c90  1588.98018   1.08536
c10  c98  1058.46054    1.5219
c10  h53   1480.1513    1.0939
c10  h54   1480.1513    1.0939
c10  h55   1480.1513    1.0939
h9   c14  1588.98018   1.08536
h10  c18  1588.98018   1.08536
h11  c39  1588.98018   1.08536
h12  c24  1588.98018   1.08536
c11  c47  1116.51359   1.45463
c11  c22  1443.10634   1.38719
c11  c44  1443.10634   1.38719
h13  c12   1480.1513    1.0939
h14  c109 1588.98018   1.08536
c12  c36  1058.46054    1.5219
c12  h56   1480.1513    1.0939
c12  h57   1480.1513    1.0939
h15  c102 1588.98018   1.08536
c13  c138 1443.10634   1.38719
c13  c137 1116.51359   1.45463
c13  c135 1443.10634   1.38719
h16  c96  1588.98018   1.08536
h17  c95  1588.98018   1.08536
h18  c87  1588.98018   1.08536
h19  c101 1588.98018   1.08536
h20  c30   1480.1513    1.0939
h21  c17   1480.1513    1.0939
h22  c26   1480.1513    1.0939
h23  c26   1480.1513    1.0939
h24  n2   2020.52949   1.01948
h25  c91  1588.98018   1.08536
c14  c107 1443.10634   1.38719
c14  c21  1443.10634   1.38719
c15  c36  1158.92472   1.49865
c15  c109 1443.10634   1.38719
c15  c21  1443.10634   1.38719
h26  c88  1588.98018   1.08536
o3   c16  1204.58712   1.34574
o3   c38  1466.92833    1.4259
c16  o7   2330.73913    1.2252
c16  n5   1971.02257    1.3819
c17  h28   1480.1513    1.0939
c17  h29   1480.1513    1.0939
c17  c38  1058.46054    1.5219
c18  c106 1443.10634   1.38719
c18  c39  1443.10634   1.38719
c19  c122 1443.10634   1.38719
c19  c47  1443.10634   1.38719
c19  h99  1588.98018   1.08536
c68  c125 1443.10634   1.38719
c67  c125 1443.10634   1.38719
c125 h76  1588.98018   1.08536
c21  h34  1588.98018   1.08536
h30  c30   1480.1513    1.0939
h31  c26   1480.1513    1.0939
h32  c30   1480.1513    1.0939
c22  c42  1443.10634   1.38719
c22  h73  1588.98018   1.08536
h33  c107 1588.98018   1.08536
c23  h90   1480.1513    1.0939
c23  h93   1480.1513    1.0939
c23  h98   1480.1513    1.0939
c23  o15  1466.92833    1.4259
c24  c29  1443.10634   1.38719
c24  c106 1443.10634   1.38719
c25  c59  1443.10634   1.38719
c25  c99  1443.10634   1.38719
c25  h108 1588.98018   1.08536
n2   c97  1971.02257    1.3819
n2   c36  1408.19243    1.4501
h35  c104 1588.98018   1.08536
c26  c38  1058.46054    1.5219
c27  c57  1443.10634   1.38719
c27  c60  1443.10634   1.38719
c27  h81  1588.98018   1.08536
c28  c68  1116.51359   1.45463
c28  n6   1971.02257    1.3819
o5   c80   1702.7233   1.36295
o5   c112 1466.92833    1.4259
c76  h63   1480.1513    1.0939
c29  h37  1588.98018   1.08536
c29  c40  1443.10634   1.38719
c30  c38  1058.46054    1.5219
c31  n3   1408.19243    1.4501
c31  h59   1480.1513    1.0939
c31  c56  1158.92472   1.49865
c31  c134 1058.46054    1.5219
c32  c72  1116.51359   1.45463
c32  c33  1443.10634   1.38719
c32  c78  1443.10634   1.38719
c33  c70  1116.51359   1.45463
c33  c77  1443.10634   1.38719
c51  c123 1443.10634   1.38719
c51  h119 1588.98018   1.08536
c35  c49  1443.10634   1.38719
c35  c124 1158.92472   1.49865
c35  c48  1443.10634   1.38719
h27  c36   1480.1513    1.0939
c37  c40  1116.51359   1.45463
c37  o6   2330.73913    1.2252
c37  n4   1971.02257    1.3819
o8   c103  1702.7233   1.36295
o8   c113 1466.92833    1.4259
h38  c93  1588.98018   1.08536
c39  c40  1443.10634   1.38719
c41  c45  1443.10634   1.38719
c41  c42  1443.10634   1.38719
c41  h61  1588.98018   1.08536
c42  o11   1702.7233   1.36295
c43  c119 1116.51359   1.45463
n3   h40  2020.52949   1.01948
c44  c50  1116.51359   1.45463
c44  c45  1443.10634   1.38719
c45  h62  1588.98018   1.08536
c46  c53  1443.10634   1.38719
c46  c55  1443.10634   1.38719
c46  h101 1588.98018   1.08536
c47  c48  1443.10634   1.38719
c48  h67  1588.98018   1.08536
c49  c122 1443.10634   1.38719
c49  h116 1588.98018   1.08536
c50  c52  1443.10634   1.38719
c50  c123 1443.10634   1.38719
c34  c52  1443.10634   1.38719
c34  h118 1588.98018   1.08536
c123 h102 1588.98018   1.08536
c53  c57  1116.51359   1.45463
c54  c55  1443.10634   1.38719
c54  c56  1443.10634   1.38719
c54  h71  1588.98018   1.08536
c55  h121 1588.98018   1.08536
c57  c99  1443.10634   1.38719
n4   c124 1408.19243    1.4501
n4   h60  2020.52949   1.01948
c58  c77  1443.10634   1.38719
c58  h65  1588.98018   1.08536
c59  c60  1443.10634   1.38719
c59  h74  1588.98018   1.08536
c60  o13   1702.7233   1.36295
c61  c62  1443.10634   1.38719
c61  c65  1443.10634   1.38719
c61  c66  1116.51359   1.45463
c62  c63  1443.10634   1.38719
c62  h89  1588.98018   1.08536
c63  h84  1588.98018   1.08536
c64  c65  1443.10634   1.38719
c64  h113 1588.98018   1.08536
c65  c74  1116.51359   1.45463
c66  c133 1443.10634   1.38719
c66  c131 1443.10634   1.38719
o9   c76  1466.92833    1.4259
o9   c137 1204.58712   1.34574
c69  c70  1443.10634   1.38719
c20  c69  1443.10634   1.38719
c69  h88  1588.98018   1.08536
c20  c68  1443.10634   1.38719
c67  c70  1443.10634   1.38719
c67  h95  1588.98018   1.08536
c71  c110 1443.10634   1.38719
c71  c72  1443.10634   1.38719
c71  h72  1588.98018   1.08536
c73  c74  1443.10634   1.38719
c73  h83  1588.98018   1.08536
c73  c130 1443.10634   1.38719
h39  c78  1588.98018   1.08536
h4   c75   1480.1513    1.0939
c75  h69   1480.1513    1.0939
c75  o11  1466.92833    1.4259
h5   c76   1480.1513    1.0939
c77  h66  1588.98018   1.08536
n5   c98  1408.19243    1.4501
n5   h126 2020.52949   1.01948
c79  c80  1443.10634   1.38719
c79  c84  1443.10634   1.38719
c79  h45  1588.98018   1.08536
c80  c81  1443.10634   1.38719
c81  c82  1443.10634   1.38719
c82  c83  1443.10634   1.38719
c83  c84  1443.10634   1.38719
c83  c86  1116.51359   1.45463
c84  c92  1116.51359   1.45463
c85  c92  1443.10634   1.38719
c85  c96  1443.10634   1.38719
c86  c87  1443.10634   1.38719
c86  c91  1443.10634   1.38719
c87  c88  1443.10634   1.38719
c88  c89  1443.10634   1.38719
c89  c90  1443.10634   1.38719
c89  c97  1116.51359   1.45463
c90  c91  1443.10634   1.38719
c92  c93  1443.10634   1.38719
c93  c94  1443.10634   1.38719
c94  c95  1443.10634   1.38719
c94  c98  1158.92472   1.49865
c95  c96  1443.10634   1.38719
c97  o10  2330.73913    1.2252
h6   c98   1480.1513    1.0939
c100 c105 1443.10634   1.38719
c100 c106 1116.51359   1.45463
c100 c101 1443.10634   1.38719
c101 c102 1443.10634   1.38719
c102 c103 1443.10634   1.38719
c103 c104 1443.10634   1.38719
c104 c105 1443.10634   1.38719
c105 c108 1116.51359   1.45463
c107 c108 1443.10634   1.38719
c108 c109 1443.10634   1.38719
h1   c120  1480.1513    1.0939
h42  c120  1480.1513    1.0939
h43  c121  1480.1513    1.0939
h44  c121  1480.1513    1.0939
c110 c115 1443.10634   1.38719
c110 h86  1588.98018   1.08536
c111 c118 1443.10634   1.38719
c111 h115 1588.98018   1.08536
c112 h46   1480.1513    1.0939
c112 h47   1480.1513    1.0939
c112 h48   1480.1513    1.0939
c113 h51   1480.1513    1.0939
c113 h49   1480.1513    1.0939
c113 h50   1480.1513    1.0939
c114 c116 1158.92472   1.49865
c114 c115 1443.10634   1.38719
c115 h87  1588.98018   1.08536
c116 h85   1480.1513    1.0939
c116 c127 1058.46054    1.5219
c117 c119 1443.10634   1.38719
c117 h64  1588.98018   1.08536
c118 c119 1443.10634   1.38719
c118 h58  1588.98018   1.08536
c120 o13  1466.92833    1.4259
c121 o12  1466.92833    1.4259
c121 h123  1480.1513    1.0939
c122 h68  1588.98018   1.08536
c52  h75  1588.98018   1.08536
c124 c126 1058.46054    1.5219
c124 h110  1480.1513    1.0939
c20  h96  1588.98018   1.08536
c126 h114  1480.1513    1.0939
c126 h92   1480.1513    1.0939
c126 h106  1480.1513    1.0939
c127 h97   1480.1513    1.0939
c127 h105  1480.1513    1.0939
c127 h91   1480.1513    1.0939
h77  c129 1588.98018   1.08536
h80  c133 1588.98018   1.08536
c135 h120 1588.98018   1.08536
h78  c131 1588.98018   1.08536
c128 h104  1480.1513    1.0939
c128 c136 1058.46054    1.5219
h82  c128  1480.1513    1.0939
c128 h103  1480.1513    1.0939
h94  n6   2020.52949   1.01948
c129 c132 1443.10634   1.38719
c130 c136 1158.92472   1.49865
c130 c132 1443.10634   1.38719
c133 c135 1443.10634   1.38719
c132 h112 1588.98018   1.08536
c134 h117  1480.1513    1.0939
c131 c138 1443.10634   1.38719
h107 c134  1480.1513    1.0939
c134 h124  1480.1513    1.0939
n6   c136 1408.19243    1.4501
h79  c138 1588.98018   1.08536
h100 c136  1480.1513    1.0939
c137 o14  2330.73913    1.2252
