NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: system.top
# Author: tfobe
# Date: Friday, 17. June 2022
# Time: 07:07PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
h1   -0.06532   1.44381  -0.06532   1.44381
h2   -0.06866   1.44979  -0.06866   1.44979
h3   -0.05896   0.61928  -0.05896   0.61928
h4   -0.06532   1.44381  -0.06532   1.44381
h5   -0.06532   1.44381  -0.06532   1.44381
h6   -0.06532   1.44381  -0.06532   1.44381
h7   -0.06532   1.44381  -0.06532   1.44381
h8   -0.06532   1.44381  -0.06532   1.44381
h9   -0.06532   1.44381  -0.06532   1.44381
h10  -0.06532   1.44381  -0.06532   1.44381
h11  -0.06866   1.44979  -0.06866   1.44979
h12  -0.06532   1.44381  -0.06532   1.44381
h13  -0.05896   0.61928  -0.05896   0.61928
h14  -0.06532   1.44381  -0.06532   1.44381
h15  -0.06532   1.44381  -0.06532   1.44381
h16  -0.06532   1.44381  -0.06532   1.44381
h17  -0.06532   1.44381  -0.06532   1.44381
h18  -0.06532   1.44381  -0.06532   1.44381
h19  -0.06532   1.44381  -0.06532   1.44381
h20  -0.06532   1.44381  -0.06532   1.44381
h21  -0.06866   1.44979  -0.06866   1.44979
h22  -0.06532   1.44381  -0.06532   1.44381
h23  -0.06532   1.44381  -0.06532   1.44381
h24  -0.06532   1.44381  -0.06532   1.44381
h25  -0.06532   1.44381  -0.06532   1.44381
h26  -0.06532   1.44381  -0.06532   1.44381
h27  -0.06532   1.44381  -0.06532   1.44381
h28  -0.06532   1.44381  -0.06532   1.44381
h29  -0.06866   1.44979  -0.06866   1.44979
h30  -0.06532   1.44381  -0.06532   1.44381
h31  -0.06866   1.44979  -0.06866   1.44979
h32  -0.06532   1.44381  -0.06532   1.44381
h33  -0.06532   1.44381  -0.06532   1.44381
h34  -0.06532   1.44381  -0.06532   1.44381
h35  -0.06532   1.44381  -0.06532   1.44381
